bike_id,biker_type,duration_sum,race_count
W21713,Member,8446,41
E00013,Member,61182,206
W21703,Member,11055,67
W21699,Member,5104,29
W21710,Member,3990,38
W22157,Member,30280,40
W20543,Member,16036,19
W23906,Member,4069,13
W21102,Member,13376,88
W00946,Member,73530,38
W21962,Member,18571,49
W20009,Member,14934,57
W20406,Member,14110,34
W23494,Member,17816,68
E00103,Member,172620,137
E00117,Member,24684,132
W22382,Member,19344,39
W00967,Member,24090,66
W01360,Member,18906,69
W00952,Member,40040,52
W23443,Member,21488,34
W22364,Member,14342,71
W20617,Casual,23023,23
E00128,Member,283611,201
W22121,Member,9340,20
W24032,Member,20196,27
W22896,Member,5696,32
W00007,Member,18240,60
W23935,Member,39061,67
W23415,Member,19360,55
W23068,Member,9090,30
W00920,Member,17664,23
W21009,Member,5508,34
W00436,Member,14986,59
W23492,Member,12328,67
70232,Member,38383,131
W20073,Member,63000,60
W21205,Member,8352,32
W22136,Member,16320,40
W22543,Member,50760,45
W24151,Member,21420,15
W24146,Member,19647,59
W23276,Member,1735,5
W21611,Member,20016,72
W00866,Member,43680,65
W20396,Member,18722,46
W24168,Member,100890,57
W22167,Member,5828,31
W22936,Member,16589,53
W22003,Member,9715,29
W00087,Member,51150,66
W21282,Member,5075,35
E00037,Member,44496,108
W23385,Member,402595,73
W00531,Member,25872,44
W20301,Member,9315,27
W20397,Member,16849,83
W20519,Member,10098,17
W24030,Member,8437,59
W20819,Member,27645,57
W23648,Member,21267,51
W21274,Member,13598,26
W20308,Member,33810,49
W01269,Member,52032,96
W20798,Member,16701,57
W21911,Member,4704,56
W23957,Member,18396,84
W24003,Member,42312,82
W20509,Member,17920,70
W21500,Member,7935,69
W22822,Member,16461,31
W00604,Member,24896,64
W20587,Member,13939,53
W20650,Member,7345,65
W23058,Member,59304,42
W01210,Member,4890,15
W20201,Member,5994,27
W23603,Member,3816,53
W00165,Member,2844,36
W23774,Member,80535,105
W22628,Member,15440,80
W21921,Member,4816,16
W21147,Member,12864,48
W21721,Member,8568,42
W23747,Member,67940,86
W21808,Member,25864,53
W21195,Member,5828,31
W20172,Member,16695,63
W23316,Member,124550,94
W00883,Member,10614,29
